Type	Name	# Requests	# Fails	Median (ms)	95%ile (ms)	99%ile (ms)	Average (ms)	Min (ms)	Max (ms)	Average size (bytes)	Current RPS	Current Failures/s
GET	/api/v1/attackers	27857	0	2200	7300	10000	2807.22	1	20651	43	107.3	0
GET	/api/v1/attackers?search=brute&sort_by=recent	13962	0	2700	8400	12000	3305.79	4	23758	43	48.6	0
POST	/api/v1/auth/login	7128	0	340	3500	6600	883.47	165	7555	259	27.8	0
POST	/api/v1/auth/login [on_start]	1500	0	680	1800	2900	811.27	181	3919	259	0	0
GET	/api/v1/bounty	21070	0	38	4800	6500	1008.43	1	12467	43	82	0
GET	/api/v1/config	10620	0	890	6200	9500	1694.71	1	15695	214	43.9	0
GET	/api/v1/deckies	24572	0	14	370	5400	201.21	1	10123	2	93.7	0
GET	/api/v1/health	10675	0	850	4900	7200	1467.49	1	10851	337	42.2	0
GET	/api/v1/logs/histogram	17652	0	22	4400	7000	837.93	1	9972	125	60.5	0
GET	/api/v1/logs?limit=100&offset=0	9	0	1700	4300	4300	2117.87	103	4309	37830	0	0
GET	/api/v1/logs?limit=100&offset=1	10	0	1300	8100	8100	2910.09	9	8070	36893	0	0
GET	/api/v1/logs?limit=100&offset=10	14	0	4200	6800	6800	3603.31	113	6766	32590	0.1	0
GET	/api/v1/logs?limit=100&offset=100	8	0	1100	3800	3800	1350.33	57	3772	47	0	0
GET	/api/v1/logs?limit=100&offset=1000	16	0	2700	4900	4900	2925.33	58	4859	48	0.1	0
GET	/api/v1/logs?limit=100&offset=101	16	0	1900	5600	5600	2504.82	57	5629	47	0.2	0
GET	/api/v1/logs?limit=100&offset=102	12	0	2500	8800	8800	3484.47	53	8770	47	0	0
GET	/api/v1/logs?limit=100&offset=103	9	0	1400	6200	6200	1950.97	67	6181	47	0	0
GET	/api/v1/logs?limit=100&offset=104	16	0	1700	6100	6100	2317.96	43	6126	47	0	0
