Type	Name	# Requests	# Fails	Median (ms)	95%ile (ms)	99%ile (ms)	Average (ms)	Min (ms)	Max (ms)	Average size (bytes)	Current RPS	Current Failures/s
GET	/api/v1/attackers	33626	0	1700	6300	8900	2214.15	2	15667	43	126.5	0
GET	/api/v1/attackers?search=brute&sort_by=recent	16687	0	2200	6800	9700	2651.5	2	20113	43	53.6	0
POST	/api/v1/auth/login	8350	0	290	2800	5400	777.44	161	6225	259	29.7	0
POST	/api/v1/auth/login [on_start]	1500	0	860	4400	5100	1314.2	180	5690	259	0	0
GET	/api/v1/bounty	25180	0	36	5000	6900	935.48	1	13129	43	88.5	0
GET	/api/v1/config	12559	0	130	5200	7200	1237.02	1	11439	214	47.3	0
GET	/api/v1/deckies	29234	0	17	1400	5700	245.38	1	8742	2	103.3	0
GET	/api/v1/health	12481	0	430	5000	8000	1243.75	1	13782	337	57.2	0
GET	/api/v1/logs/histogram	20915	0	21	3200	5700	498.34	1	8990	125	76.2	0
GET	/api/v1/logs?limit=100&offset=0	20	0	1500	8900	8900	2469.55	51	8924	37830	0.1	0
GET	/api/v1/logs?limit=100&offset=1	11	0	1500	4800	4800	1655.67	46	4809	36893	0	0
GET	/api/v1/logs?limit=100&offset=10	14	0	250	6400	6400	1948.59	57	6378	32590	0.1	0
GET	/api/v1/logs?limit=100&offset=100	15	0	3800	9400	9400	3842.16	88	9413	47	0	0
GET	/api/v1/logs?limit=100&offset=1000	17	0	2200	6100	6100	2147.1	59	6057	48	0	0
GET	/api/v1/logs?limit=100&offset=101	15	0	1200	6200	6200	2194.12	60	6230	47	0	0
GET	/api/v1/logs?limit=100&offset=102	15	0	1900	5300	5300	2006.04	59	5294	47	0.1	0
GET	/api/v1/logs?limit=100&offset=103	26	0	1900	7600	8900	2849.35	63	8914	47	0	0
GET	/api/v1/logs?limit=100&offset=104	18	0	1000	6400	6400	1801.51	53	6419	47	0	0
GET	/api/v1/logs?limit=100&offset=105	9	0	1400	2600	2600	1205.04	77	2606	47	0	0
GET	/api/v1/logs?limit=100&offset=106	18	0	1200	5400	5400	1960.08	58	5400	47	0	0
