Type	Name	# Requests	# Fails	Median (ms)	95%ile (ms)	99%ile (ms)	Average (ms)	Min (ms)	Max (ms)	Average size (bytes)	Current RPS	Current Failures/s
GET	/api/v1/attackers	426	0	93	2800	3700	478.61	2	5451	43	4.2	0
GET	/api/v1/attackers?search=brute&sort_by=recent	216	0	170	3400	4500	723.01	23	5455	43	2	0
POST	/api/v1/auth/login	9	0	47000	100000	100000	60136.54	25316	99846	259	0	0
POST	/api/v1/auth/login [on_start]	914	0	64000	121000	124000	64480.35	2433	124542	259	5.9	0
GET	/api/v1/bounty	344	0	36	2100	3100	312.05	1	4480	43	4	0
GET	/api/v1/config	146	0	56	2900	3800	444.98	1	3845	214	1.4	0
GET	/api/v1/deckies	151	0	12000	119000	120000	53148.04	3	119924	2	9.2	0
GET	/api/v1/health	14	0	105000	120000	120000	109124.04	97285	119531	337	0.6	0
GET	/api/v1/logs/histogram	252	0	37	1200	2900	213.86	1	3338	125	3.7	0
GET	/api/v1/logs?limit=100&offset=11	1	0	306.66	310	310	306.66	307	307	32152	0	0
GET	/api/v1/logs?limit=100&offset=114	1	0	37.36	37	37	37.36	37	37	47	0	0
GET	/api/v1/logs?limit=100&offset=119	1	0	298.45	300	300	298.45	298	298	47	0	0
GET	/api/v1/logs?limit=100&offset=124	1	0	77.65	78	78	77.65	78	78	47	0	0
GET	/api/v1/logs?limit=100&offset=126	1	0	19.74	20	20	19.74	20	20	47	0	0
GET	/api/v1/logs?limit=100&offset=131	1	0	70.61	71	71	70.61	71	71	47	0	0
GET	/api/v1/logs?limit=100&offset=134	1	0	161.58	160	160	161.58	162	162	47	0	0
GET	/api/v1/logs?limit=100&offset=144	1	0	923.08	920	920	923.08	923	923	47	0	0
GET	/api/v1/logs?limit=100&offset=147	1	0	203.85	200	200	203.85	204	204	47	0	0
GET	/api/v1/logs?limit=100&offset=153	1	0	963.7	960	960	963.7	964	964	47	0.1	0
GET	/api/v1/logs?limit=100&offset=162	1	0	243.43	240	240	243.43	243	243	47	0	0
GET	/api/v1/logs?limit=100&offset=163	2	0	18.46	58	58	38.43	18	58	47	0	0
GET	/api/v1/logs?limit=100&offset=166	2	0	150	3700	3700	1918.55	146	3691	47	0	0
GET	/api/v1/logs?limit=100&offset=168	1	0	34.04	34	34	34.04	34	34	47	0	0
GET	/api/v1/logs?limit=100&offset=171	1	0	72.31	72	72	72.31	72	72	47	0	0
GET	/api/v1/logs?limit=100&offset=172	1	0	125.21	130	130	125.21	125	125	47	0	0
GET	/api/v1/logs?limit=100&offset=182	1	0	36.72	37	37	36.72	37	37	47	0	0
GET	/api/v1/logs?limit=100&offset=192	2	0	15	80	80	47.17	15	80	47	0	0
GET	/api/v1/logs?limit=100&offset=194	1	0	581.74	580	580	581.74	582	582	47	0	0
GET	/api/v1/logs?limit=100&offset=200	1	0	136.78	140	140	136.78	137	137	47	0	0
GET	/api/v1/logs?limit=100&offset=205	1	0	8.17	8	8	8.17	8	8	47	0	0
GET	/api/v1/logs?limit=100&offset=210	1	0	532.33	530	530	532.33	532	532	47	0	0
GET	/api/v1/logs?limit=100&offset=214	1	0	61.9	62	62	61.9	62	62	47	0	0
