Type	Name	# Requests	# Fails	Median (ms)	95%ile (ms)	99%ile (ms)	Average (ms)	Min (ms)	Max (ms)	Average size (bytes)	Current RPS	Current Failures/s
GET	/api/v1/attackers	668	0	170	141000	197000	16140.01	5	247805	43	0	0
GET	/api/v1/attackers?search=brute&sort_by=recent	318	0	230	124000	190000	13619.88	9	242192	43	0.1	0
POST	/api/v1/auth/change-password	15	0	480	610	610	482.69	395	615	43	0	0
POST	/api/v1/auth/login	163	0	650	99000	151000	14034.74	170	166461	259	0.2	0
POST	/api/v1/auth/login [on_start]	515	0	3500	171000	233000	41270	189	245208	258.97	0	0
GET	/api/v1/bounty	455	0	100	117000	192000	11847.02	5	266610	43	0.2	0
GET	/api/v1/config	250	0	190	147000	218000	15656.22	5	225589	214	0	0
GET	/api/v1/deckies	593	0	170	80000	136000	10746.34	3	182607	2	0.2	0
GET	/api/v1/health	233	0	170	134000	206000	18945.87	4	216524	337	0.5	0
GET	/api/v1/logs/histogram	453	0	130	107000	176000	12775.61	4	243204	125	0.1	0
GET	/api/v1/logs?limit=100&offset=1	1	0	668.6	670	670	668.6	669	669	36893	0	0
GET	/api/v1/logs?limit=100&offset=102	1	0	126589.27	127000	127000	126589.27	126589	126589	47	0	0
GET	/api/v1/logs?limit=100&offset=105	1	0	119.46	120	120	119.46	119	119	47	0	0
GET	/api/v1/logs?limit=100&offset=107	1	0	46.32	46	46	46.32	46	46	47	0	0
GET	/api/v1/logs?limit=100&offset=111	2	0	120	2100	2100	1112.09	120	2105	47	0	0
GET	/api/v1/logs?limit=100&offset=113	1	0	206.71	210	210	206.71	207	207	47	0	0
GET	/api/v1/logs?limit=100&offset=12	2	0	54	140	140	98.56	54	143	31676	0	0
GET	/api/v1/logs?limit=100&offset=122	1	0	351.81	350	350	351.81	352	352	47	0	0
GET	/api/v1/logs?limit=100&offset=127	1	0	650.58	650	650	650.58	651	651	47	0	0
GET	/api/v1/logs?limit=100&offset=128	1	0	281.14	280	280	281.14	281	281	47	0	0
GET	/api/v1/logs?limit=100&offset=136	1	0	45.96	46	46	45.96	46	46	47	0	0
