Type	Name	# Requests	# Fails	Median (ms)	95%ile (ms)	99%ile (ms)	Average (ms)	Min (ms)	Max (ms)	Average size (bytes)	Current RPS	Current Failures/s
GET	/api/v1/attackers	831	1	870	121000	194000	16076.31	8	236663	42.95	0.7	0
GET	/api/v1/attackers?search=brute&sort_by=recent	411	0	700	135000	194000	15681.05	6	224507	43	0.1	0
POST	/api/v1/auth/change-password	15	0	470	710	710	502.36	395	710	43	0	0
POST	/api/v1/auth/login	206	1	800	49000	131000	10103.85	169	170526	257.74	0.3	0
POST	/api/v1/auth/login [on_start]	525	10	1400	18000	25000	4126.08	194	27727	254.04	0	0
GET	/api/v1/bounty	617	0	1100	97000	177000	14374.99	12	236224	43	0.5	0
GET	/api/v1/config	304	2	1000	187000	228000	23837.45	8	247687	212.59	0.5	0
GET	/api/v1/deckies	776	3	420	52000	119000	7603.68	4	153295	1.99	0.2	0
GET	/api/v1/health	333	0	650	90000	168000	12471.56	5	194149	337	0.4	0
GET	/api/v1/logs/histogram	533	0	920	78000	159000	11734.83	5	181775	125	0.5	0
GET	/api/v1/logs?limit=100&offset=0	1	0	18609.57	19000	19000	18609.57	18610	18610	37830	0	0
GET	/api/v1/logs?limit=100&offset=1	1	0	1932.36	1900	1900	1932.36	1932	1932	36893	0	0
GET	/api/v1/logs?limit=100&offset=100	1	0	6154.39	6200	6200	6154.39	6154	6154	47	0	0
GET	/api/v1/logs?limit=100&offset=102	1	0	895.73	900	900	895.73	896	896	47	0	0
GET	/api/v1/logs?limit=100&offset=105	1	0	169.45	170	170	169.45	169	169	47	0	0
GET	/api/v1/logs?limit=100&offset=109	1	0	15.21	15	15	15.21	15	15	47	0	0
GET	/api/v1/logs?limit=100&offset=117	2	0	2000	3300	3300	2609.65	1961	3258	47	0	0
GET	/api/v1/logs?limit=100&offset=118	1	0	1066.55	1100	1100	1066.55	1067	1067	47	0	0
GET	/api/v1/logs?limit=100&offset=120	1	0	11854.78	12000	12000	11854.78	11855	11855	47	0	0
GET	/api/v1/logs?limit=100&offset=122	2	0	16407.68	78000	78000	47290.37	16408	78173	47	0	0
GET	/api/v1/logs?limit=100&offset=123	1	0	49.96	50	50	49.96	50	50	47	0	0
GET	/api/v1/logs?limit=100&offset=124	1	0	56942.9	57000	57000	56942.9	56943	56943	47	0	0
GET	/api/v1/logs?limit=100&offset=131	1	0	45.14	45	45	45.14	45	45	47	0	0
GET	/api/v1/logs?limit=100&offset=139	1	0	49.53	50	50	49.53	50	50	47	0	0
GET	/api/v1/logs?limit=100&offset=144	1	0	250.05	250	250	250.05	250	250	47	0	0
GET	/api/v1/logs?limit=100&offset=145	2	0	10192.03	31000	31000	20471.96	10192	30752	47	0	0
GET	/api/v1/logs?limit=100&offset=147	2	0	660.91	700	700	680.04	661	699	47	0	0
GET	/api/v1/logs?limit=100&offset=148	2	0	68	11000	11000	5747.04	68	11426	47	0	0
GET	/api/v1/logs?limit=100&offset=153	1	0	313.19	310	310	313.19	313	313	47	0	0
GET	/api/v1/logs?limit=100&offset=156	1	0	2226.05	2200	2200	2226.05	2226	2226	47	0	0
GET	/api/v1/logs?limit=100&offset=17	1	0	325.52	330	330	325.52	326	326	29210	0	0
GET	/api/v1/logs?limit=100&offset=170	1	0	263978.7	264000	264000	263978.7	263979	263979	47	0	0
GET	/api/v1/logs?limit=100&offset=173	4	0	130	15000	15000	4167.67	64	14642	47	0	0
GET	/api/v1/logs?limit=100&offset=18	1	0	185251.14	185000	185000	185251.14	185251	185251	28668	0	0
GET	/api/v1/logs?limit=100&offset=19	2	0	173.08	5900	5900	3041.46	173	5910	28184	0	0
GET	/api/v1/logs?limit=100&offset=20	1	0	1095.34	1100	1100	1095.34	1095	1095	27724	0	0
GET	/api/v1/logs?limit=100&offset=200	1	0	11302.82	11000	11000	11302.82	11303	11303	47	0	0
GET	/api/v1/logs?limit=100&offset=205	1	0	615.54	620	620	615.54	616	616	47	0	0
GET	/api/v1/logs?limit=100&offset=207	1	0	67.49	67	67	67.49	67	67	47	0	0
GET	/api/v1/logs?limit=100&offset=21	2	0	78.23	240	240	160.64	78	243	27266	0	0
GET	/api/v1/logs?limit=100&offset=211	1	0	1919.76	1900	1900	1919.76	1920	1920	47	0	0
GET	/api/v1/logs?limit=100&offset=212	2	0	1100	2100	2100	1569.45	1087	2052	47	0	0
GET	/api/v1/logs?limit=100&offset=213	1	0	48292.48	48000	48000	48292.48	48292	48292	47	0	0
GET	/api/v1/logs?limit=100&offset=22	1	0	1845.88	1800	1800	1845.88	1846	1846	26808	0	0
GET	/api/v1/logs?limit=100&offset=223	1	0	58672.3	59000	59000	58672.3	58672	58672	47	0	0
GET	/api/v1/logs?limit=100&offset=224	2	0	51	370	370	211.26	51	372	47	0	0
GET	/api/v1/logs?limit=100&offset=225	2	0	88	1000	1000	543.36	88	999	47	0	0
