Type	Name	# Requests	# Fails	Median (ms)	95%ile (ms)	99%ile (ms)	Average (ms)	Min (ms)	Max (ms)	Average size (bytes)	Current RPS	Current Failures/s
GET	/api/v1/attackers?search=brute&sort_by=recent	15703	0	1400	1900	2300	1401.38	3	3876	43	56.5	0
GET	/api/v1/logs?limit=100&offset=446	10	0	1100	2800	2800	1259.27	627	2758	47	0.1	0
GET	/api/v1/logs?limit=100&offset=274	14	0	950	1500	1500	965.83	667	1454	47	0.1	0
GET	/api/v1/logs?limit=100&offset=319	18	0	940	1500	1500	925.91	3	1522	47	0	0
GET	/api/v1/logs?limit=100&offset=43	14	0	920	1400	1400	917.37	643	1405	16524	0.1	0
GET	/api/v1/logs?limit=100&offset=295	14	0	910	1300	1300	931.22	676	1308	47	0	0
GET	/api/v1/logs?limit=100&offset=345	11	0	910	1300	1300	939.9	676	1293	47	0	0
GET	/api/v1/logs?limit=100&offset=372	9	0	910	1400	1400	890.43	424	1420	47	0	0
GET	/api/v1/logs?limit=100&offset=442	15	0	910	1300	1300	922.98	665	1321	47	0.2	0
GET	/api/v1/logs?limit=100&offset=14	14	0	890	1600	1600	942.75	197	1626	30696	0.3	0
GET	/api/v1/logs?limit=100&offset=176	13	0	890	1300	1300	916.13	635	1275	47	0	0
GET	/api/v1/logs?limit=100&offset=24	11	0	890	1200	1200	876.37	500	1198	25892	0.1	0
GET	/api/v1/logs?limit=100&offset=410	13	0	890	1300	1300	886.67	546	1286	47	0.1	0
GET	/api/v1/logs?limit=100&offset=303	6	0	880	3300	3300	1352.45	741	3298	47	0	0
GET	/api/v1/logs?limit=100&offset=314	17	0	880	1500	1500	946.06	511	1544	47	0.1	0
GET	/api/v1/logs?limit=100&offset=381	11	0	880	1500	1500	935.42	3	1486	47	0	0
GET	/api/v1/logs?limit=100&offset=405	14	0	880	1600	1600	906.07	2	1578	47	0	0
GET	/api/v1/logs?limit=100&offset=154	16	0	870	1300	1300	920.21	585	1319	47	0	0
GET	/api/v1/logs?limit=100&offset=214	13	0	870	1300	1300	872.81	584	1298	47	0.1	0
GET	/api/v1/logs?limit=100&offset=465	15	0	870	1400	1400	875.04	34	1416	47	0	0
GET	/api/v1/logs?limit=100&offset=523	7	0	870	1100	1100	782.47	8	1148	47	0	0
GET	/api/v1/logs?limit=100&offset=167	13	0	860	1000	1000	776.25	170	999	47	0	0
GET	/api/v1/logs?limit=100&offset=223	11	0	860	1800	1800	946.41	125	1770	47	0	0
GET	/api/v1/logs?limit=100&offset=268	15	0	860	1200	1200	870.27	630	1232	47	0	0
GET	/api/v1/logs?limit=100&offset=307	18	0	860	1400	1400	924.74	11	1416	47	0	0
GET	/api/v1/logs?limit=100&offset=353	11	0	860	1300	1300	912.56	690	1281	47	0	0
GET	/api/v1/logs?limit=100&offset=108	14	0	850	1300	1300	926.19	659	1311	47	0.1	0
GET	/api/v1/logs?limit=100&offset=421	11	0	850	1400	1400	860.76	669	1419	47	0	0
GET	/api/v1/logs?limit=100&offset=1000	20	0	840	1400	1400	909.94	587	1370	48	0.1	0
GET	/api/v1/logs?limit=100&offset=298	19	0	840	2000	2000	976.06	524	1955	47	0	0
GET	/api/v1/logs?limit=100&offset=5	15	0	840	1400	1400	800.98	230	1397	35008	0	0
GET	/api/v1/logs?limit=100&offset=512	17	0	840	1400	1400	839.31	78	1359	47	0	0
GET	/api/v1/logs?limit=100&offset=15	10	0	830	1200	1200	832.16	7	1223	30146	0	0
GET	/api/v1/logs?limit=100&offset=16	16	0	830	1700	1700	905.55	284	1658	29660	0	0
GET	/api/v1/logs?limit=100&offset=182	17	0	830	1500	1500	838.98	373	1525	47	0	0
GET	/api/v1/logs?limit=100&offset=204	11	0	830	1400	1400	855.6	584	1368	47	0	0
GET	/api/v1/logs?limit=100&offset=209	15	0	830	1100	1100	819.39	352	1118	47	0	0
GET	/api/v1/logs?limit=100&offset=211	10	0	830	1500	1500	939.98	656	1452	47	0.1	0
GET	/api/v1/logs?limit=100&offset=249	12	0	830	2200	2200	981.87	630	2159	47	0	0
GET	/api/v1/logs?limit=100&offset=418	17	0	830	2000	2000	905.68	561	1965	47	0.1	0
GET	/api/v1/logs?limit=100&offset=510	13	0	830	1300	1300	820.94	274	1325	47	0	0
GET	/api/v1/logs?limit=100&offset=518	11	0	830	1200	1200	839.24	586	1245	47	0	0
GET	/api/v1/logs?limit=100&offset=205	11	0	820	1600	1600	929.47	596	1605	47	0	0
GET	/api/v1/logs?limit=100&offset=292	15	0	820	2200	2200	953.17	534	2222	47	0	0
GET	/api/v1/logs?limit=100&offset=311	16	0	820	1600	1600	871.59	4	1627	47	0	0
