Type	Name	# Requests	# Fails	Median (ms)	95%ile (ms)	99%ile (ms)	Average (ms)	Min (ms)	Max (ms)	Average size (bytes)	Current RPS	Current Failures/s
GET	/api/v1/attackers	48191	0	570	2200	3000	739.61	1	6542	43	115	0
GET	/api/v1/attackers?search=brute&sort_by=recent	24202	0	830	2600	3600	1044.41	2	8278	43	55.9	0
POST	/api/v1/auth/login	12059	0	200	630	1200	259.93	158	1879	259	31.8	0
POST	/api/v1/auth/login [on_start]	500	0	350	510	730	355.14	173	779	259	0	0
GET	/api/v1/bounty	35557	0	19	1400	2100	198.44	1	4174	43	88.7	0
GET	/api/v1/config	18117	0	21	1400	2400	261.69	0	4070	214	45.7	0
GET	/api/v1/deckies	41959	0	17	99	1100	46.8	0	2799	2	107	0
GET	/api/v1/health	18070	0	23	1200	2000	257.8	1	4003	337	41.9	0
GET	/api/v1/logs/histogram	30006	0	18	720	1500	99.73	1	3754	125	78	0
GET	/api/v1/logs?limit=100&offset=0	22	0	630	1700	1800	721.72	62	1764	37830	0	0
GET	/api/v1/logs?limit=100&offset=1	27	0	650	1900	2000	698.98	94	1999	36893	0	0
GET	/api/v1/logs?limit=100&offset=10	25	0	650	1800	2000	727.14	89	2006	32590	0.1	0
GET	/api/v1/logs?limit=100&offset=100	23	0	810	2300	2300	894.34	70	2319	47	0	0
GET	/api/v1/logs?limit=100&offset=1000	25	0	550	2600	2900	670.12	52	2922	48	0.1	0
GET	/api/v1/logs?limit=100&offset=101	26	0	380	1900	2000	623.95	3	2031	47	0.1	0
GET	/api/v1/logs?limit=100&offset=102	29	0	360	1200	1200	429.63	59	1212	47	0	0
GET	/api/v1/logs?limit=100&offset=103	28	0	710	1800	2300	790.97	69	2268	47	0	0
GET	/api/v1/logs?limit=100&offset=104	26	0	470	2100	3600	690.65	47	3590	47	0.1	0
GET	/api/v1/logs?limit=100&offset=105	28	0	480	2200	2700	625.15	54	2684	47	0	0
GET	/api/v1/logs?limit=100&offset=106	28	0	440	1800	2400	651.98	64	2383	47	0	0
GET	/api/v1/logs?limit=100&offset=107	24	0	180	1300	1400	473.04	77	1440	47	0	0
GET	/api/v1/logs?limit=100&offset=108	16	0	260	2000	2000	624.7	34	2047	47	0	0
GET	/api/v1/logs?limit=100&offset=109	27	0	660	2300	2700	806.39	72	2732	47	0.1	0
GET	/api/v1/logs?limit=100&offset=11	35	0	720	2600	2700	882.06	56	2683	32152	0	0
GET	/api/v1/logs?limit=100&offset=110	20	0	580	1900	1900	759.73	83	1944	47	0	0
GET	/api/v1/logs?limit=100&offset=111	29	0	410	2900	3400	736.75	89	3419	47	0	0
GET	/api/v1/logs?limit=100&offset=112	18	0	180	2100	2100	644.34	39	2103	47	0	0
GET	/api/v1/logs?limit=100&offset=113	27	0	370	1500	2200	543.09	55	2170	47	0.1	0
GET	/api/v1/logs?limit=100&offset=114	25	0	1000	2100	2500	961.38	56	2499	47	0.1	0
GET	/api/v1/logs?limit=100&offset=115	14	0	680	1600	1600	728.02	60	1570	47	0	0
GET	/api/v1/logs?limit=100&offset=116	20	0	480	2600	2600	800.78	55	2561	47	0	0
GET	/api/v1/logs?limit=100&offset=117	26	0	440	1800	2500	737.81	1	2486	47	0	0
GET	/api/v1/logs?limit=100&offset=118	21	0	660	1300	1800	626.15	80	1776	47	0	0
GET	/api/v1/logs?limit=100&offset=119	26	0	470	1400	2800	609.91	72	2754	47	0.1	0
GET	/api/v1/logs?limit=100&offset=12	19	0	720	2500	2500	903.49	68	2520	31688	0.2	0
GET	/api/v1/logs?limit=100&offset=120	24	0	570	1900	2500	712.75	70	2454	47	0.1	0
GET	/api/v1/logs?limit=100&offset=121	30	0	480	1900	2200	703.84	19	2241	47	0.2	0
GET	/api/v1/logs?limit=100&offset=122	20	0	590	1800	1800	777.57	74	1841	47	0	0
GET	/api/v1/logs?limit=100&offset=123	15	0	220	1500	1500	414.47	63	1527	47	0	0
GET	/api/v1/logs?limit=100&offset=124	20	0	180	1800	1800	441.89	67	1839	47	0.1	0
